1 0 FT924-655 1  22.968359 STANDARD
46 0 FT941-2465 1  12.463626 STANDARD
46 0 FT923-1803 1  12.4629755 STANDARD
46 0 FT943-794 1  12.4624405 STANDARD
46 0 FT942-11129 1  12.458497 STANDARD
46 0 FT941-7642 1  12.447879 STANDARD
46 0 FT943-9906 1  12.443467 STANDARD
46 0 FT921-13832 1  12.430701 STANDARD
46 0 FT932-7114 1  12.40955 STANDARD
46 0 FT911-11 1  12.395925 STANDARD
46 0 FT941-11050 1  12.393715 STANDARD
46 0 FT921-7788 1  12.391244 STANDARD
46 0 FT934-5233 1  12.388985 STANDARD
46 0 FT911-1303 1  12.378394 STANDARD
46 0 FT934-5957 1  12.37265 STANDARD
46 0 FT922-8451 1  12.366535 STANDARD
46 0 FT922-11275 1  12.366494 STANDARD
46 0 FT941-12599 1  12.364641 STANDARD
46 0 FT943-5955 1  12.359651 STANDARD
46 0 FT932-13408 1  12.35575 STANDARD
46 0 FT922-3388 1  12.355102 STANDARD
46 0 FT942-8529 1  12.346057 STANDARD
46 0 FT942-430 1  12.339778 STANDARD
46 0 FT944-9886 1  12.338545 STANDARD
46 0 FT944-17623 1  12.335113 STANDARD
46 0 FT941-6879 1  12.3238 STANDARD
46 0 FT934-14262 1  12.316494 STANDARD
46 0 FT934-9691 1  12.316041 STANDARD
46 0 FT943-1632 1  12.312795 STANDARD
46 0 FT933-5090 1  12.307497 STANDARD
46 0 FT941-9195 1  12.293626 STANDARD
46 0 FT942-15049 1  12.293082 STANDARD
46 0 FT924-11953 1  12.292384 STANDARD
46 0 FT921-13614 1  12.283684 STANDARD
46 0 FT924-14812 1  12.275995 STANDARD
46 0 FT941-13648 1  12.266435 STANDARD
46 0 FT923-12390 1  12.259763 STANDARD
46 0 FT924-4326 1  12.248515 STANDARD
46 0 FT923-11537 1  12.237477 STANDARD
46 0 FT932-16641 1  12.228457 STANDARD
46 0 FT942-1243 1  12.227701 STANDARD
46 0 FT911-556 1  12.227563 STANDARD
46 0 FT943-12284 1  12.226231 STANDARD
46 0 FT923-14693 1  12.223249 STANDARD
46 0 FT934-7143 1  12.211684 STANDARD
46 0 FT924-4778 1  12.210148 STANDARD
46 0 FT944-1734 1  12.196998 STANDARD
46 0 FT934-8672 1  12.188186 STANDARD
46 0 FT931-10308 1  12.182776 STANDARD
46 0 FT941-4051 1  12.180252 STANDARD
46 0 FT924-13975 1  12.174863 STANDARD
46 0 FT924-4614 1  12.1706085 STANDARD
46 0 FT933-7931 1  12.169216 STANDARD
46 0 FT943-10361 1  12.162986 STANDARD
46 0 FT923-10009 1  12.162904 STANDARD
46 0 FT941-16945 1  12.151646 STANDARD
46 0 FT942-6617 1  12.149062 STANDARD
46 0 FT923-10360 1  12.147743 STANDARD
46 0 FT924-9781 1  12.129878 STANDARD
46 0 FT941-5492 1  12.123334 STANDARD
46 0 FT924-15222 1  12.114546 STANDARD
46 0 FT924-2554 1  12.103014 STANDARD
46 0 FT932-3496 1  12.08095 STANDARD
46 0 FT931-9190 1  12.080948 STANDARD
46 0 FT941-3310 1  12.061561 STANDARD
46 0 FT923-12447 1  12.061361 STANDARD
46 0 FT941-6208 1  12.058044 STANDARD
46 0 FT934-4551 1  12.054939 STANDARD
46 0 FT944-9726 1  12.044107 STANDARD
46 0 FT944-1882 1  12.036989 STANDARD
46 0 FT944-2089 1  12.036989 STANDARD
46 0 FT941-16124 1  12.03459 STANDARD
46 0 FT931-6348 1  12.034517 STANDARD
46 0 FT941-8276 1  12.0234165 STANDARD
46 0 FT924-14230 1  12.022517 STANDARD
46 0 FT932-14871 1  11.9997015 STANDARD
46 0 FT931-13847 1  11.997169 STANDARD
46 0 FT932-13562 1  11.995677 STANDARD
46 0 FT933-12288 1  11.986936 STANDARD
46 0 FT942-16898 1  11.983279 STANDARD
46 0 FT932-16750 1  11.977498 STANDARD
46 0 FT944-12438 1  11.963188 STANDARD
46 0 FT944-18088 1  11.961605 STANDARD
46 0 FT934-12204 1  11.949874 STANDARD
46 0 FT932-2960 1  11.935372 STANDARD
46 0 FT942-16266 1  11.902213 STANDARD
46 0 FT931-13785 1  11.898327 STANDARD
46 0 FT943-12601 1  11.897203 STANDARD
46 0 FT944-6602 1  11.896747 STANDARD
46 0 FT922-2390 1  11.896549 STANDARD
46 0 FT933-8132 1  11.884067 STANDARD
46 0 FT943-1887 1  11.879748 STANDARD
46 0 FT933-10055 1  11.879531 STANDARD
46 0 FT944-18739 1  11.871783 STANDARD
46 0 FT932-8909 1  11.844977 STANDARD
46 0 FT944-10254 1  11.8357315 STANDARD
46 0 FT922-3001 1  11.834547 STANDARD
46 0 FT911-4189 1  11.829616 STANDARD
46 0 FT933-8321 1  11.828258 STANDARD
46 0 FT941-7939 1  11.827319 STANDARD
46 0 FT934-1931 1  11.82416 STANDARD
46 0 FT921-4591 1  11.810125 STANDARD
46 0 FT922-7241 1  11.808189 STANDARD
46 0 FT943-11195 1  11.801708 STANDARD
46 0 FT943-10780 1  11.800771 STANDARD
46 0 FT924-14105 1  11.793923 STANDARD
46 0 FT932-2644 1  11.781022 STANDARD
46 0 FT933-5715 1  11.772721 STANDARD
46 0 FT934-1769 1  11.769427 STANDARD
46 0 FT943-5751 1  11.760449 STANDARD
46 0 FT923-4657 1  11.752588 STANDARD
46 0 FT943-7430 1  11.747497 STANDARD
46 0 FT924-11057 1  11.739039 STANDARD
46 0 FT943-8765 1  11.732945 STANDARD
46 0 FT924-7108 1  11.72692 STANDARD
46 0 FT934-7734 1  11.720763 STANDARD
46 0 FT932-679 1  11.712328 STANDARD
46 0 FT934-12959 1  11.707673 STANDARD
46 0 FT932-2101 1  11.705885 STANDARD
46 0 FT923-6164 1  11.7049885 STANDARD
46 0 FT943-9902 1  11.698634 STANDARD
46 0 FT921-3943 1  11.692622 STANDARD
46 0 FT934-4997 1  11.671182 STANDARD
46 0 FT923-8408 1  11.67107 STANDARD
46 0 FT921-16085 1  11.67107 STANDARD
46 0 FT921-10072 1  11.658539 STANDARD
46 0 FT941-12418 1  11.648506 STANDARD
46 0 FT942-13789 1  11.642162 STANDARD
46 0 FT933-7901 1  11.638426 STANDARD
46 0 FT933-14547 1  11.634305 STANDARD
46 0 FT944-301 1  11.626959 STANDARD
46 0 FT933-12912 1  11.60598 STANDARD
46 0 FT944-7095 1  11.603804 STANDARD
46 0 FT934-9862 1  11.603726 STANDARD
46 0 FT944-12078 1  11.579223 STANDARD
46 0 FT934-2571 1  11.578686 STANDARD
46 0 FT943-5417 1  11.56982 STANDARD
46 0 FT933-566 1  11.56727 STANDARD
46 0 FT922-518 1  11.566878 STANDARD
46 0 FT942-1754 1  11.56502 STANDARD
46 0 FT943-10839 1  11.564031 STANDARD
46 0 FT923-8432 1  11.563483 STANDARD
46 0 FT921-7380 1  11.555555 STANDARD
46 0 FT921-6226 1  11.546872 STANDARD
46 0 FT941-5484 1  11.545189 STANDARD
46 0 FT941-6075 1  11.53801 STANDARD
46 0 FT923-12429 1  11.532903 STANDARD
46 0 FT921-16131 1  11.528931 STANDARD
46 0 FT932-13257 1  11.522548 STANDARD
46 0 FT931-12472 1  11.51814 STANDARD
46 0 FT923-5553 1  11.517082 STANDARD
46 0 FT924-6290 1  11.515273 STANDARD
46 0 FT923-7713 1  11.510881 STANDARD
46 0 FT942-3081 1  11.496962 STANDARD
46 0 FT924-5516 1  11.495983 STANDARD
46 0 FT944-13855 1  11.492425 STANDARD
46 0 FT942-5356 1  11.492296 STANDARD
46 0 FT922-6038 1  11.491206 STANDARD
46 0 FT923-5728 1  11.486873 STANDARD
46 0 FT933-8310 1  11.484613 STANDARD
46 0 FT933-8454 1  11.484613 STANDARD
46 0 FT933-2327 1  11.482833 STANDARD
46 0 FT924-9123 1  11.482086 STANDARD
46 0 FT911-1115 1  11.472124 STANDARD
46 0 FT943-13210 1  11.464757 STANDARD
46 0 FT944-18500 1  11.464561 STANDARD
46 0 FT943-11667 1  11.453995 STANDARD
46 0 FT943-14356 1  11.449958 STANDARD
46 0 FT944-3048 1  11.449939 STANDARD
46 0 FT943-14846 1  11.449251 STANDARD
46 0 FT941-12345 1  11.449071 STANDARD
46 0 FT924-1694 1  11.447118 STANDARD
46 0 FT943-7189 1  11.444581 STANDARD
46 0 FT931-16476 1  11.443392 STANDARD
46 0 FT924-13850 1  11.43657 STANDARD
46 0 FT934-1420 1  11.434657 STANDARD
46 0 FT941-1659 1  11.434654 STANDARD
46 0 FT942-11587 1  11.4345665 STANDARD
46 0 FT934-12753 1  11.434133 STANDARD
46 0 FT924-11501 1  11.430619 STANDARD
46 0 FT933-11090 1  11.429327 STANDARD
46 0 FT944-11890 1  11.429327 STANDARD
46 0 FT933-8533 1  11.429238 STANDARD
46 0 FT941-11743 1  11.416232 STANDARD
46 0 FT942-17624 1  11.407073 STANDARD
46 0 FT934-7549 1  11.388088 STANDARD
46 0 FT911-1306 1  11.385761 STANDARD
46 0 FT944-4776 1  11.376954 STANDARD
46 0 FT921-508 1  11.375811 STANDARD
46 0 FT924-16111 1  11.373193 STANDARD
46 0 FT924-3382 1  11.373041 STANDARD
46 0 FT941-16510 1  11.358622 STANDARD
46 0 FT933-2995 1  11.351258 STANDARD
46 0 FT932-7693 1  11.351188 STANDARD
46 0 FT931-5839 1  11.345711 STANDARD
46 0 FT933-14609 1  11.345711 STANDARD
46 0 FT933-6996 1  11.345711 STANDARD
46 0 FT924-4075 1  11.34544 STANDARD
46 0 FT942-14802 1  11.344825 STANDARD
46 0 FT921-7384 1  11.344812 STANDARD
46 0 FT921-14476 1  11.342248 STANDARD
46 0 FT934-10679 1  11.335764 STANDARD
46 0 FT934-7494 1  11.334047 STANDARD
46 0 FT921-6395 1  11.331776 STANDARD
46 0 FT922-4176 1  11.330659 STANDARD
46 0 FT923-14732 1  11.326216 STANDARD
46 0 FT944-4346 1  11.317475 STANDARD
46 0 FT923-11165 1  11.315838 STANDARD
46 0 FT922-4507 1  11.313595 STANDARD
46 0 FT943-1186 1  11.31277 STANDARD
46 0 FT943-2141 1  11.3121195 STANDARD
46 0 FT933-6321 1  11.307663 STANDARD
46 0 FT932-5923 1  11.285081 STANDARD
46 0 FT921-6606 1  11.283203 STANDARD
46 0 FT931-8074 1  11.279551 STANDARD
46 0 FT922-8394 1  11.269757 STANDARD
46 0 FT911-4795 1  11.267374 STANDARD
46 0 FT931-9722 1  11.266197 STANDARD
46 0 FT942-8985 1  11.263817 STANDARD
46 0 FT941-12565 1  11.261099 STANDARD
46 0 FT924-14723 1  11.257254 STANDARD
46 0 FT923-13211 1  11.2560625 STANDARD
46 0 FT934-6392 1  11.254158 STANDARD
46 0 FT911-4515 1  11.253701 STANDARD
46 0 FT921-14536 1  11.251549 STANDARD
46 0 FT941-3774 1  11.249765 STANDARD
46 0 FT923-1270 1  11.242475 STANDARD
46 0 FT934-7973 1  11.240974 STANDARD
46 0 FT924-8492 1  11.238825 STANDARD
46 0 FT924-5994 1  11.23805 STANDARD
46 0 FT944-7518 1  11.232539 STANDARD
46 0 FT941-13897 1  11.213705 STANDARD
46 0 FT944-17179 1  11.207453 STANDARD
46 0 FT943-1110 1  11.202951 STANDARD
46 0 FT933-8133 1  11.197733 STANDARD
46 0 FT933-8322 1  11.197733 STANDARD
46 0 FT942-15992 1  11.188693 STANDARD
46 0 FT932-3827 1  11.185309 STANDARD
46 0 FT922-10494 1  11.178103 STANDARD
46 0 FT934-8852 1  11.175175 STANDARD
46 0 FT933-3 1  11.173338 STANDARD
46 0 FT944-3901 1  11.168101 STANDARD
46 0 FT942-7128 1  11.164076 STANDARD
46 0 FT944-15893 1  11.162571 STANDARD
46 0 FT922-2471 1  11.162257 STANDARD
46 0 FT924-398 1  11.158351 STANDARD
46 0 FT944-17749 1  11.151055 STANDARD
46 0 FT942-3174 1  11.15053 STANDARD
46 0 FT942-12125 1  11.137543 STANDARD
46 0 FT933-8240 1  11.133684 STANDARD
46 0 FT931-4191 1  11.130766 STANDARD
46 0 FT933-12287 1  11.128715 STANDARD
46 0 FT942-16626 1  11.126382 STANDARD
46 0 FT932-8937 1  11.12154 STANDARD
46 0 FT931-16846 1  11.120387 STANDARD
46 0 FT944-3061 1  11.117957 STANDARD
46 0 FT943-16283 1  11.1146555 STANDARD
46 0 FT923-15412 1  11.1093025 STANDARD
46 0 FT923-8015 1  11.105235 STANDARD
46 0 FT922-9033 1  11.103928 STANDARD
46 0 FT944-17074 1  11.102718 STANDARD
46 0 FT942-15589 1  11.097385 STANDARD
46 0 FT933-6327 1  11.092155 STANDARD
46 0 FT942-1533 1  11.091292 STANDARD
46 0 FT932-14918 1  11.091242 STANDARD
46 0 FT943-2339 1  11.090226 STANDARD
46 0 FT931-9337 1  11.088196 STANDARD
46 0 FT932-5201 1  11.08624 STANDARD
46 0 FT942-2168 1  11.084076 STANDARD
46 0 FT934-7751 1  11.083475 STANDARD
46 0 FT942-5347 1  11.082797 STANDARD
46 0 FT941-17641 1  11.074487 STANDARD
46 0 FT924-2067 1  11.070603 STANDARD
46 0 FT944-12394 1  11.065763 STANDARD
46 0 FT943-15456 1  11.053328 STANDARD
46 0 FT911-1348 1  11.052659 STANDARD
46 0 FT932-11937 1  11.052059 STANDARD
46 0 FT922-7179 1  11.049916 STANDARD
46 0 FT933-9651 1  11.044683 STANDARD
46 0 FT922-10671 1  11.04459 STANDARD
46 0 FT921-14314 1  11.037999 STANDARD
46 0 FT943-14831 1  11.037948 STANDARD
46 0 FT921-1800 1  11.037834 STANDARD
46 0 FT944-11442 1  11.034385 STANDARD
46 0 FT944-10921 1  11.029947 STANDARD
46 0 FT923-1358 1  11.0291815 STANDARD
46 0 FT933-15870 1  11.028429 STANDARD
46 0 FT924-12109 1  11.0281105 STANDARD
46 0 FT941-4912 1  11.019984 STANDARD
46 0 FT942-2367 1  11.017004 STANDARD
46 0 FT942-10233 1  11.011658 STANDARD
46 0 FT924-5190 1  11.011424 STANDARD
46 0 FT942-768 1  11.010682 STANDARD
46 0 FT934-207 1  10.999911 STANDARD
46 0 FT922-7063 1  10.995179 STANDARD
46 0 FT931-14749 1  10.990061 STANDARD
46 0 FT941-13330 1  10.979222 STANDARD
46 0 FT934-5748 1  10.977827 STANDARD
46 0 FT924-10998 1  10.970758 STANDARD
46 0 FT924-1639 1  10.967825 STANDARD
46 0 FT924-10135 1  10.965699 STANDARD
46 0 FT943-6023 1  10.963802 STANDARD
46 0 FT944-553 1  10.9637 STANDARD
46 0 FT942-12024 1  10.959294 STANDARD
46 0 FT922-608 1  10.956707 STANDARD
46 0 FT924-5948 1  10.948374 STANDARD
46 0 FT941-13497 1  10.946327 STANDARD
46 0 FT941-2656 1  10.944436 STANDARD
46 0 FT923-5389 1  10.939452 STANDARD
46 0 FT931-7718 1  10.93225 STANDARD
46 0 FT934-9698 1  10.925667 STANDARD
46 0 FT924-6860 1  10.9214115 STANDARD
46 0 FT941-6895 1  10.912535 STANDARD
46 0 FT932-11074 1  10.912186 STANDARD
46 0 FT923-10875 1  10.906853 STANDARD
46 0 FT932-7625 1  10.905809 STANDARD
46 0 FT941-4935 1  10.902137 STANDARD
46 0 FT934-14664 1  10.893925 STANDARD
46 0 FT942-8515 1  10.893684 STANDARD
46 0 FT933-4910 1  10.886015 STANDARD
46 0 FT924-5676 1  10.883884 STANDARD
46 0 FT922-10068 1  10.883747 STANDARD
46 0 FT943-6416 1  10.882552 STANDARD
46 0 FT911-367 1  10.881466 STANDARD
46 0 FT923-6467 1  10.88 STANDARD
46 0 FT923-7983 1  10.87857 STANDARD
46 0 FT921-6390 1  10.87485 STANDARD
46 0 FT922-5824 1  10.871238 STANDARD
46 0 FT924-14929 1  10.870249 STANDARD
46 0 FT922-12815 1  10.861591 STANDARD
46 0 FT921-16190 1  10.861485 STANDARD
46 0 FT934-11015 1  10.860402 STANDARD
46 0 FT943-15328 1  10.852565 STANDARD
46 0 FT923-9844 1  10.851125 STANDARD
46 0 FT922-380 1  10.842006 STANDARD
46 0 FT924-7174 1  10.839379 STANDARD
46 0 FT923-11087 1  10.837675 STANDARD
46 0 FT942-10589 1  10.835278 STANDARD
46 0 FT942-17045 1  10.832808 STANDARD
46 0 FT941-9495 1  10.83082 STANDARD
46 0 FT922-12852 1  10.825074 STANDARD
46 0 FT922-6903 1  10.823949 STANDARD
46 0 FT922-8534 1  10.823614 STANDARD
46 0 FT932-13485 1  10.821023 STANDARD
46 0 FT944-16912 1  10.817921 STANDARD
46 0 FT943-7508 1  10.815043 STANDARD
46 0 FT934-16786 1  10.803988 STANDARD
46 0 FT931-3808 1  10.802127 STANDARD
46 0 FT921-11527 1  10.792101 STANDARD
46 0 FT944-14470 1  10.781676 STANDARD
46 0 FT942-9304 1  10.779987 STANDARD
46 0 FT922-442 1  10.778981 STANDARD
46 0 FT943-4834 1  10.77524 STANDARD
46 0 FT944-14155 1  10.771446 STANDARD
46 0 FT934-9940 1  10.7699795 STANDARD
46 0 FT923-15064 1  10.765783 STANDARD
46 0 FT934-10237 1  10.760263 STANDARD
46 0 FT924-8422 1  10.7560215 STANDARD
46 0 FT932-12004 1  10.755262 STANDARD
46 0 FT933-5177 1  10.753412 STANDARD
46 0 FT941-15878 1  10.752024 STANDARD
46 0 FT944-11090 1  10.74919 STANDARD
46 0 FT944-12827 1  10.749095 STANDARD
46 0 FT941-14754 1  10.74467 STANDARD
46 0 FT942-11537 1  10.742897 STANDARD
46 0 FT931-16563 1  10.739336 STANDARD
46 0 FT933-14750 1  10.737374 STANDARD
46 0 FT942-7979 1  10.726203 STANDARD
46 0 FT924-10204 1  10.721167 STANDARD
46 0 FT944-7351 1  10.717668 STANDARD
46 0 FT934-9395 1  10.717369 STANDARD
46 0 FT943-12869 1  10.716529 STANDARD
46 0 FT932-2381 1  10.708649 STANDARD
46 0 FT924-10632 1  10.700654 STANDARD
46 0 FT942-8241 1  10.692416 STANDARD
46 0 FT921-12551 1  10.682861 STANDARD
46 0 FT911-1295 1  10.680479 STANDARD
46 0 FT943-13096 1  10.677824 STANDARD
46 0 FT942-8008 1  10.674405 STANDARD
46 0 FT923-13512 1  10.6689415 STANDARD
46 0 FT911-4088 1  10.668591 STANDARD
46 0 FT911-663 1  10.666723 STANDARD
46 0 FT932-5057 1  10.662242 STANDARD
46 0 FT933-1554 1  10.662107 STANDARD
46 0 FT943-7828 1  10.661974 STANDARD
46 0 FT921-8526 1  10.6582365 STANDARD
46 0 FT931-5761 1  10.657584 STANDARD
46 0 FT931-5930 1  10.657584 STANDARD
46 0 FT944-10100 1  10.636218 STANDARD
46 0 FT934-8618 1  10.635304 STANDARD
46 0 FT924-9427 1  10.634466 STANDARD
46 0 FT941-2608 1  10.634247 STANDARD
46 0 FT932-9433 1  10.6300335 STANDARD
46 0 FT921-1565 1  10.623187 STANDARD
46 0 FT931-15331 1  10.615952 STANDARD
46 0 FT923-13254 1  10.601223 STANDARD
46 0 FT922-2252 1  10.599249 STANDARD
46 0 FT922-3381 1  10.597944 STANDARD
46 0 FT943-1439 1  10.594839 STANDARD
46 0 FT943-16745 1  10.583824 STANDARD
46 0 FT943-58 1  10.579171 STANDARD
46 0 FT943-4071 1  10.564816 STANDARD
46 0 FT943-14176 1  10.551165 STANDARD
46 0 FT932-6493 1  10.546335 STANDARD
46 0 FT921-835 1  10.543077 STANDARD
46 0 FT922-7799 1  10.541714 STANDARD
46 0 FT933-2737 1  10.536269 STANDARD
46 0 FT931-17030 1  10.535457 STANDARD
46 0 FT924-5181 1  10.531288 STANDARD
46 0 FT931-13353 1  10.528555 STANDARD
46 0 FT941-2533 1  10.518014 STANDARD
46 0 FT931-3141 1  10.515826 STANDARD
46 0 FT933-9515 1  10.5081215 STANDARD
46 0 FT934-5486 1  10.506552 STANDARD
46 0 FT911-3396 1  10.503114 STANDARD
46 0 FT941-6348 1  10.498276 STANDARD
46 0 FT932-7107 1  10.493646 STANDARD
46 0 FT924-3506 1  10.492306 STANDARD
46 0 FT922-9822 1  10.491078 STANDARD
46 0 FT921-1317 1  10.489214 STANDARD
46 0 FT942-3086 1  10.486902 STANDARD
46 0 FT944-15855 1  10.486651 STANDARD
46 0 FT922-5109 1  10.486535 STANDARD
46 0 FT924-8762 1  10.48249 STANDARD
46 0 FT944-9851 1  10.482254 STANDARD
46 0 FT924-7260 1  10.481538 STANDARD
46 0 FT941-16712 1  10.477363 STANDARD
46 0 FT943-9019 1  10.477077 STANDARD
46 0 FT932-3097 1  10.475798 STANDARD
46 0 FT944-16479 1  10.472572 STANDARD
46 0 FT934-1777 1  10.471797 STANDARD
46 0 FT923-6703 1  10.470538 STANDARD
46 0 FT944-1859 1  10.468263 STANDARD
46 0 FT944-2066 1  10.468263 STANDARD
46 0 FT932-13545 1  10.468256 STANDARD
46 0 FT934-11099 1  10.466019 STANDARD
46 0 FT911-721 1  10.461337 STANDARD
46 0 FT943-14877 1  10.451833 STANDARD
46 0 FT933-9099 1  10.447536 STANDARD
46 0 FT924-14248 1  10.444569 STANDARD
46 0 FT942-13331 1  10.443743 STANDARD
46 0 FT923-2092 1  10.442242 STANDARD
46 0 FT924-2669 1  10.441348 STANDARD
46 0 FT934-9911 1  10.437329 STANDARD
46 0 FT933-1836 1  10.427443 STANDARD
46 0 FT942-1053 1  10.4264145 STANDARD
46 0 FT923-9490 1  10.425427 STANDARD
46 0 FT934-13848 1  10.425148 STANDARD
46 0 FT941-697 1  10.420694 STANDARD
46 0 FT931-9145 1  10.418537 STANDARD
46 0 FT941-10183 1  10.418372 STANDARD
46 0 FT942-3989 1  10.414252 STANDARD
46 0 FT934-5755 1  10.413483 STANDARD
46 0 FT943-280 1  10.410608 STANDARD
46 0 FT924-4470 1  10.409551 STANDARD
46 0 FT911-1650 1  10.406138 STANDARD
46 0 FT944-5398 1  10.399015 STANDARD
46 0 FT934-6497 1  10.398973 STANDARD
46 0 FT943-5536 1  10.396765 STANDARD
46 0 FT923-9094 1  10.3915205 STANDARD
46 0 FT942-10959 1  10.3913355 STANDARD
46 0 FT943-2818 1  10.391004 STANDARD
46 0 FT923-1587 1  10.383332 STANDARD
46 0 FT921-12547 1  10.382084 STANDARD
46 0 FT931-7803 1  10.381292 STANDARD
46 0 FT943-10856 1  10.379731 STANDARD
46 0 FT942-10935 1  10.376742 STANDARD
46 0 FT942-15506 1  10.37213 STANDARD
46 0 FT933-12232 1  10.370814 STANDARD
46 0 FT931-5210 1  10.364133 STANDARD
46 0 FT922-1436 1  10.362174 STANDARD
46 0 FT923-1846 1  10.361713 STANDARD
46 0 FT922-10086 1  10.358888 STANDARD
46 0 FT934-841 1  10.357903 STANDARD
46 0 FT943-4437 1  10.354522 STANDARD
46 0 FT934-11630 1  10.353522 STANDARD
46 0 FT932-5826 1  10.34573 STANDARD
46 0 FT921-8760 1  10.339666 STANDARD
46 0 FT932-9308 1  10.3379345 STANDARD
46 0 FT923-1460 1  10.337859 STANDARD
46 0 FT931-11320 1  10.33643 STANDARD
46 0 FT921-10723 1  10.3332 STANDARD
46 0 FT932-16763 1  10.325194 STANDARD
46 0 FT934-12369 1  10.324507 STANDARD
46 0 FT933-3508 1  10.324333 STANDARD
46 0 FT944-917 1  10.317716 STANDARD
46 0 FT942-4928 1  10.3176985 STANDARD
46 0 FT941-8050 1  10.312602 STANDARD
46 0 FT921-9962 1  10.31152 STANDARD
46 0 FT922-5614 1  10.311157 STANDARD
46 0 FT942-7044 1  10.310866 STANDARD
46 0 FT911-372 1  10.310415 STANDARD
46 0 FT931-2807 1  10.308665 STANDARD
46 0 FT923-11263 1  10.307072 STANDARD
46 0 FT931-4711 1  10.302156 STANDARD
46 0 FT942-6632 1  10.3018465 STANDARD
46 0 FT931-10925 1  10.29861 STANDARD
46 0 FT934-1528 1  10.298353 STANDARD
46 0 FT941-6675 1  10.295977 STANDARD
46 0 FT934-3773 1  10.293555 STANDARD
46 0 FT911-1805 1  10.293074 STANDARD
46 0 FT932-6124 1  10.285887 STANDARD
46 0 FT924-1882 1  10.282636 STANDARD
46 0 FT942-11126 1  10.273745 STANDARD
46 0 FT931-4996 1  10.2682085 STANDARD
46 0 FT942-4000 1  10.259517 STANDARD
46 0 FT922-5263 1  10.258916 STANDARD
46 0 FT944-8995 1  10.257887 STANDARD
46 0 FT943-7517 1  10.257536 STANDARD
46 0 FT931-8621 1  10.254009 STANDARD
46 0 FT921-12081 1  10.253397 STANDARD
46 0 FT943-5725 1  10.251669 STANDARD
46 0 FT932-7938 1  10.249759 STANDARD
46 0 FT944-6380 1  10.244467 STANDARD
46 0 FT921-11221 1  10.243667 STANDARD
46 0 FT923-862 1  10.239365 STANDARD
46 0 FT922-11746 1  10.2332735 STANDARD
46 0 FT941-6902 1  10.228328 STANDARD
46 0 FT932-10144 1  10.226557 STANDARD
46 0 FT943-15068 1  10.224214 STANDARD
46 0 FT942-15037 1  10.221654 STANDARD
46 0 FT942-17526 1  10.220799 STANDARD
46 0 FT944-6231 1  10.220462 STANDARD
46 0 FT942-8713 1  10.219628 STANDARD
46 0 FT932-16013 1  10.216004 STANDARD
46 0 FT931-15957 1  10.214826 STANDARD
46 0 FT911-2822 1  10.214228 STANDARD
46 0 FT941-15170 1  10.210023 STANDARD
46 0 FT934-536 1  10.205915 STANDARD
46 0 FT943-15898 1  10.2050295 STANDARD
46 0 FT941-6071 1  10.199794 STANDARD
46 0 FT943-13564 1  10.198905 STANDARD
46 0 FT923-1330 1  10.196949 STANDARD
46 0 FT941-16129 1  10.188184 STANDARD
46 0 FT933-14213 1  10.18802 STANDARD
46 0 FT942-9554 1  10.187304 STANDARD
46 0 FT932-16875 1  10.185388 STANDARD
46 0 FT932-11767 1  10.183598 STANDARD
46 0 FT941-11481 1  10.183023 STANDARD
46 0 FT923-5771 1  10.180461 STANDARD
46 0 FT931-6353 1  10.174658 STANDARD
46 0 FT934-5536 1  10.167504 STANDARD
46 0 FT924-5186 1  10.167413 STANDARD
46 0 FT932-2357 1  10.162537 STANDARD
46 0 FT942-8115 1  10.158415 STANDARD
46 0 FT943-5512 1  10.156451 STANDARD
46 0 FT942-10088 1  10.154982 STANDARD
46 0 FT932-12736 1  10.154802 STANDARD
46 0 FT931-10125 1  10.151383 STANDARD
46 0 FT941-3541 1  10.149318 STANDARD
46 0 FT922-8818 1  10.148935 STANDARD
46 0 FT934-3053 1  10.1449175 STANDARD
46 0 FT932-11556 1  10.141547 STANDARD
46 0 FT934-81 1  10.139979 STANDARD
46 0 FT922-4438 1  10.136445 STANDARD
46 0 FT922-15301 1  10.135274 STANDARD
46 0 FT943-4161 1  10.134905 STANDARD
46 0 FT924-13665 1  10.133129 STANDARD
46 0 FT944-6438 1  10.133094 STANDARD
46 0 FT942-16463 1  10.132228 STANDARD
46 0 FT933-11958 1  10.131228 STANDARD
46 0 FT932-7309 1  10.127579 STANDARD
46 0 FT923-5612 1  10.127051 STANDARD
46 0 FT921-8742 1  10.12671 STANDARD
46 0 FT933-7888 1  10.124235 STANDARD
46 0 FT924-3549 1  10.108981 STANDARD
46 0 FT933-16309 1  10.108139 STANDARD
46 0 FT941-10271 1  10.107241 STANDARD
46 0 FT922-10079 1  10.101568 STANDARD
46 0 FT932-3828 1  10.097497 STANDARD
46 0 FT934-2290 1  10.095177 STANDARD
46 0 FT931-11668 1  10.092971 STANDARD
46 0 FT922-10913 1  10.084409 STANDARD
46 0 FT943-13396 1  10.083429 STANDARD
46 0 FT922-5239 1  10.081091 STANDARD
46 0 FT933-6550 1  10.079612 STANDARD
46 0 FT923-5431 1  10.077797 STANDARD
46 0 FT911-4867 1  10.077355 STANDARD
46 0 FT942-14554 1  10.07607 STANDARD
46 0 FT942-7840 1  10.075575 STANDARD
46 0 FT932-6511 1  10.068301 STANDARD
46 0 FT933-5627 1  10.063452 STANDARD
46 0 FT943-7293 1  10.061367 STANDARD
